mother,tf,expiry,strike,lot,buys,lots,first_fill,exit,reason,deployed,gross,costs,net,unpriced,legs,exit_detail,target_index
2025-12-19T13:45:00+05:30,5m,2026-01-27,25900,75,1,1,2025-12-26T14:10:00+05:30,2025-12-26T14:25:00+05:30,trail,35456.25,-712.5,113.96,-826.46,0,"[{""t"": ""2025-12-26T14:10:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2025-12-26T14:15:00+05:30"", ""index"": 26044.5, ""premium"": 472.75, ""qty"": 75, ""rung"": 1}]","{""timestamp"": ""2025-12-26T14:25:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2025-12-26T14:25:00+05:30"", ""index_price"": 26045.55, ""option_premium"": 463.25, ""reason"": ""trail""}",26029.67
2025-12-31T13:20:00+05:30,5m,2026-01-27,26050,75,1,1,2026-01-06T11:25:00+05:30,2026-01-06T12:00:00+05:30,trail,27900.0,525.0,101.1,423.9,0,"[{""t"": ""2026-01-06T11:25:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2026-01-06T11:30:00+05:30"", ""index"": 26156.6, ""premium"": 372.0, ""qty"": 75, ""rung"": 1}]","{""timestamp"": ""2026-01-06T12:00:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2026-01-06T12:00:00+05:30"", ""index_price"": 26187.12, ""option_premium"": 379.0, ""reason"": ""trail""}",26157.15
2026-01-29T13:30:00+05:30,5m,2026-02-24,25250,65,1,1,2026-02-01T12:35:00+05:30,2026-02-01T12:50:00+05:30,trail,18213.0,-1309.75,80.32,-1390.07,0,"[{""t"": ""2026-02-01T12:35:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2026-02-01T12:40:00+05:30"", ""index"": 24906.45, ""premium"": 280.2, ""qty"": 65, ""rung"": 1}]","{""timestamp"": ""2026-02-01T12:50:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2026-02-01T12:50:00+05:30"", ""index_price"": 25021.145, ""option_premium"": 260.05, ""reason"": ""trail""}",25024.85
2026-02-03T09:15:00+05:30,5m,2026-02-24,25700,65,2,3,2026-02-13T09:40:00+05:30,2026-02-17T10:45:00+05:30,trail,22519.25,6467.5,121.87,6345.63,0,"[{""t"": ""2026-02-13T09:40:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2026-02-13T09:45:00+05:30"", ""index"": 25547.7, ""premium"": 142.85, ""qty"": 65, ""rung"": 1}, {""t"": ""2026-02-16T09:15:00+05:30"", ""tf"": ""15m"", ""priced_at"": ""2026-02-16T09:30:00+05:30"", ""index"": 25477.2, ""premium"": 101.8, ""qty"": 130, ""rung"": 2}]","{""timestamp"": ""2026-02-17T10:45:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2026-02-17T10:45:00+05:30"", ""index_price"": 25661.454999999998, ""option_premium"": 148.65, ""reason"": ""trail""}",25710.83
2026-02-18T14:15:00+05:30,5m,2026-03-30,25650,65,2,3,2026-02-19T14:50:00+05:30,2026-02-20T11:15:00+05:30,trail,68935.75,15499.25,221.74,15277.51,0,"[{""t"": ""2026-02-19T14:50:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2026-02-19T14:55:00+05:30"", ""index"": 25518.25, ""premium"": 395.35, ""qty"": 65, ""rung"": 1}, {""t"": ""2026-02-20T09:15:00+05:30"", ""tf"": ""15m"", ""priced_at"": ""2026-02-20T09:30:00+05:30"", ""index"": 25447.6, ""premium"": 332.6, ""qty"": 130, ""rung"": 2}]","{""timestamp"": ""2026-02-20T11:15:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2026-02-20T11:15:00+05:30"", ""index_price"": 25565.895, ""option_premium"": 433.0, ""reason"": ""trail""}",25546.35
2026-03-18T11:40:00+05:30,5m,2026-04-28,23700,65,2,3,2026-03-19T13:35:00+05:30,2026-03-20T09:45:00+05:30,trail,85865.0,8866.0,245.75,8620.25,0,"[{""t"": ""2026-03-19T13:35:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2026-03-19T13:40:00+05:30"", ""index"": 23176.65, ""premium"": 455.0, ""qty"": 65, ""rung"": 1}, {""t"": ""2026-03-19T14:30:00+05:30"", ""tf"": ""15m"", ""priced_at"": ""2026-03-19T14:45:00+05:30"", ""index"": 23111.3, ""premium"": 433.0, ""qty"": 130, ""rung"": 2}]","{""timestamp"": ""2026-03-20T09:45:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2026-03-20T09:45:00+05:30"", ""index_price"": 23263.714, ""option_premium"": 485.8, ""reason"": ""trail""}",23308.8
2026-03-25T10:40:00+05:30,5m,2026-04-28,23250,65,3,6,2026-03-30T10:45:00+05:30,2026-04-01T10:55:00+05:30,trail,181889.5,-1709.5,439.34,-2148.84,0,"[{""t"": ""2026-03-30T10:45:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2026-03-30T10:50:00+05:30"", ""index"": 22522.45, ""premium"": 457.1, ""qty"": 65, ""rung"": 1}, {""t"": ""2026-03-30T11:30:00+05:30"", ""tf"": ""15m"", ""priced_at"": ""2026-03-30T11:45:00+05:30"", ""index"": 22478.55, ""premium"": 441.0, ""qty"": 130, ""rung"": 2}, {""t"": ""2026-04-01T09:15:00+05:30"", ""tf"": ""1h"", ""priced_at"": ""2026-04-01T10:15:00+05:30"", ""index"": 22420.5, ""premium"": 486.4, ""qty"": 195, ""rung"": 3}]","{""timestamp"": ""2026-04-01T10:55:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2026-04-01T10:55:00+05:30"", ""index_price"": 22795.962, ""option_premium"": 462.0, ""reason"": ""trail""}",22685.03
2026-04-06T15:00:00+05:30,5m,2026-04-28,22850,65,1,1,2026-04-23T11:15:00+05:30,2026-04-23T11:30:00+05:30,trail,86515.0,198.25,212.54,-14.29,0,"[{""t"": ""2026-04-23T11:15:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2026-04-23T11:20:00+05:30"", ""index"": 24201.35, ""premium"": 1331.0, ""qty"": 65, ""rung"": 1}]","{""timestamp"": ""2026-04-23T11:30:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2026-04-23T11:30:00+05:30"", ""index_price"": 24203.52, ""option_premium"": 1334.05, ""reason"": ""trail""}",23893.27
2026-04-29T10:25:00+05:30,5m,2026-05-26,24200,65,2,3,2026-04-30T09:30:00+05:30,2026-04-30T14:20:00+05:30,trail,64002.25,10770.5,206.4,10564.1,0,"[{""t"": ""2026-04-30T09:30:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2026-04-30T09:35:00+05:30"", ""index"": 23900.8, ""premium"": 341.25, ""qty"": 65, ""rung"": 1}, {""t"": ""2026-04-30T10:30:00+05:30"", ""tf"": ""15m"", ""priced_at"": ""2026-04-30T10:45:00+05:30"", ""index"": 23828.6, ""premium"": 321.7, ""qty"": 130, ""rung"": 2}]","{""timestamp"": ""2026-04-30T14:20:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2026-04-30T14:20:00+05:30"", ""index_price"": 23998.571, ""option_premium"": 383.45, ""reason"": ""trail""}",23963.58
2026-05-06T14:25:00+05:30,5m,2026-05-26,24200,65,2,3,2026-05-11T09:45:00+05:30,2026-05-11T14:10:00+05:30,trail,45019.0,3233.75,160.74,3073.01,0,"[{""t"": ""2026-05-11T09:45:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2026-05-11T09:50:00+05:30"", ""index"": 23881.8, ""premium"": 230.0, ""qty"": 65, ""rung"": 1}, {""t"": ""2026-05-11T10:45:00+05:30"", ""tf"": ""15m"", ""priced_at"": ""2026-05-11T11:00:00+05:30"", ""index"": 23869.2, ""premium"": 231.3, ""qty"": 130, ""rung"": 2}]","{""timestamp"": ""2026-05-11T14:10:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2026-05-11T14:10:00+05:30"", ""index_price"": 23960.235, ""option_premium"": 247.45, ""reason"": ""trail""}",23988.06
2026-05-21T09:15:00+05:30,5m,2026-06-30,23650,65,1,1,2026-05-29T13:55:00+05:30,2026-05-29T14:45:00+05:30,trail,32685.25,1147.25,111.01,1036.24,0,"[{""t"": ""2026-05-29T13:55:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2026-05-29T14:00:00+05:30"", ""index"": 23754.1, ""premium"": 502.85, ""qty"": 65, ""rung"": 1}]","{""timestamp"": ""2026-05-29T14:45:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2026-05-29T14:45:00+05:30"", ""index_price"": 23787.665, ""option_premium"": 520.5, ""reason"": ""trail""}",23780.55
2026-06-12T09:15:00+05:30,5m,2026-06-30,23350,65,1,1,2026-06-19T15:00:00+05:30,2026-06-22T15:20:00+05:30,trail,48090.25,2483.0,142.07,2340.93,0,"[{""t"": ""2026-06-19T15:00:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2026-06-19T15:05:00+05:30"", ""index"": 23929.65, ""premium"": 739.85, ""qty"": 65, ""rung"": 1}]","{""timestamp"": ""2026-06-22T15:20:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2026-06-22T15:20:00+05:30"", ""index_price"": 24096.53, ""option_premium"": 778.05, ""reason"": ""trail""}",23811.23
2026-06-25T09:25:00+05:30,5m,2026-07-28,24050,65,1,1,2026-06-30T09:50:00+05:30,2026-06-30T11:35:00+05:30,trail,20468.5,1647.75,88.31,1559.44,0,"[{""t"": ""2026-06-30T09:50:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2026-06-30T09:55:00+05:30"", ""index"": 23870.35, ""premium"": 314.9, ""qty"": 65, ""rung"": 1}]","{""timestamp"": ""2026-06-30T11:35:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2026-06-30T11:35:00+05:30"", ""index_price"": 23960.09, ""option_premium"": 340.25, ""reason"": ""trail""}",23945.19
2026-07-02T14:35:00+05:30,5m,2026-07-28,24050,65,1,1,2026-07-08T12:15:00+05:30,2026-07-08T12:30:00+05:30,trail,24765.0,-903.5,93.32,-996.82,0,"[{""t"": ""2026-07-08T12:15:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2026-07-08T12:20:00+05:30"", ""index"": 24226.95, ""premium"": 381.0, ""qty"": 65, ""rung"": 1}]","{""timestamp"": ""2026-07-08T12:30:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2026-07-08T12:30:00+05:30"", ""index_price"": 24232.06, ""option_premium"": 367.1, ""reason"": ""trail""}",24214.29
2026-07-17T10:15:00+05:30,5m,2026-08-25,24150,65,3,6,2026-07-22T09:40:00+05:30,2026-08-04T11:50:00+05:30,trail,132830.75,81669.25,450.08,81219.17,0,"[{""t"": ""2026-07-22T09:40:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2026-07-22T09:45:00+05:30"", ""index"": 24024.25, ""premium"": 350.35, ""qty"": 65, ""rung"": 1}, {""t"": ""2026-07-22T10:45:00+05:30"", ""tf"": ""15m"", ""priced_at"": ""2026-07-22T11:00:00+05:30"", ""index"": 24007.6, ""premium"": 343.05, ""qty"": 130, ""rung"": 2}, {""t"": ""2026-07-22T14:15:00+05:30"", ""tf"": ""1h"", ""priced_at"": ""2026-07-22T15:15:00+05:30"", ""index"": 23978.85, ""premium"": 335.7, ""qty"": 195, ""rung"": 3}]","{""timestamp"": ""2026-08-04T11:50:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2026-08-04T11:50:00+05:30"", ""index_price"": 24540.809999999998, ""option_premium"": 550.0, ""reason"": ""trail""}",24066.75
