session,exit_session,side,strike,expiry,lot,rsi,close,ema,entry_spot,exit_spot,entry_premium,exit_premium,priced,capital,charges,net
2022-02-23,2022-02-24,PE,17250,2022-02-24,50,26.3,17047.75,17124.37,17064.45,16693.6,187.65,556.4003999999986,False,9382.5,84.7,18352.81999999993
2022-03-08,2022-03-09,CE,15800,2022-03-10,50,75.9,16017.75,15911.69,16018.0,16068.1,309.65,312.7,True,15482.499999999998,74.98,77.52000000000056
2022-03-14,2022-03-15,CE,16700,2022-03-17,50,70.5,16873.25,16839.78,16881.1,16897.1,316.0,303.15,True,15800.0,74.65,-717.1500000000011
2022-03-16,2022-03-17,CE,16750,2022-03-17,50,72.5,16978.45,16922.87,16972.05,17218.65,288.25,466.95,True,14412.5,82.97,8852.03
2022-03-22,2022-03-23,CE,17100,2022-03-24,50,72.5,17317.45,17269.8,17306.95,17416.15,290.05,349.75,True,14502.5,76.42,2908.5799999999995
2022-04-01,2022-04-04,CE,17450,2022-04-07,50,83.1,17670.3,17598.7,17656.5,17853.5,275.65,407.15,True,13782.499999999998,79.18,6495.82
2022-04-19,2022-04-20,PE,17250,2022-04-21,50,14.0,16962.55,17154.98,17026.6,17092.55,281.9,212.85,True,14094.999999999998,68.44,-3520.939999999999
2022-04-26,2022-04-27,CE,17000,2022-04-28,50,70.2,17211.45,17150.07,17205.25,17085.8,236.95,146.1,True,11847.5,63.21,-4605.71
2022-04-29,2022-05-02,PE,17300,2022-05-05,50,21.2,17071.15,17242.68,17083.6,16983.2,268.1,348.25,True,13405.000000000002,75.62,3931.879999999999
2022-05-10,2022-05-11,PE,16450,2022-05-12,50,28.9,16239.5,16314.36,16256.45,16277.1,229.25,208.25,True,11462.5,66.46,-1116.46
2022-05-13,2022-05-16,PE,15950,2022-05-19,50,22.9,15753.05,15887.48,15768.95,15826.95,265.0,261.55,True,13250.0,70.63,-243.12999999999943
2022-05-20,2022-05-23,CE,16100,2022-05-26,50,71.6,16279.45,16225.63,16276.75,16240.4,269.15,260.35,True,13457.499999999998,70.7,-510.6999999999977
2022-05-23,2022-05-24,PE,16400,2022-05-26,50,26.4,16210.4,16272.55,16218.9,16245.35,269.9,260.3,True,13494.999999999998,70.72,-550.7199999999983
2022-05-31,2022-06-01,PE,16800,2022-06-02,50,24.4,16556.8,16638.84,16596.55,16637.7,236.0,206.05,True,11800.0,66.55,-1564.0499999999995
2022-06-03,2022-06-06,PE,16800,2022-06-09,50,25.3,16577.15,16641.68,16584.75,16554.8,273.0,283.35,True,13650.0,72.12,445.38000000000113
2022-07-01,2022-07-04,CE,15550,2022-07-07,50,70.1,15747.35,15691.76,15747.35,15718.9,266.4,238.25,True,13319.999999999998,69.37,-1476.869999999999
2022-07-04,2022-07-05,CE,15650,2022-07-07,50,73.4,15841.1,15797.43,15843.3,15933.45,241.25,295.2,True,12062.5,71.75,2625.7499999999995
2022-07-15,2022-07-18,CE,15850,2022-07-21,50,71.5,16053.25,16006.82,16049.15,16181.1,256.05,352.15,True,12802.5,75.44,4729.559999999999
2022-07-27,2022-07-28,CE,16450,2022-07-28,50,70.1,16643.65,16608.87,16642.95,16769.65,222.6,325.95,True,11130.0,72.87,5094.63
2022-07-29,2022-08-01,CE,16950,2022-08-04,50,70.7,17159.8,17109.14,17151.8,17156.45,260.9,280.1,True,13044.999999999998,71.54,888.4600000000023
2022-08-03,2022-08-04,CE,17200,2022-08-04,50,80.2,17401.15,17329.65,17385.1,17454.0,198.7,269.8,True,9935.0,68.92,3486.080000000001
2022-08-30,2022-09-01,CE,17550,2022-09-01,50,78.1,17762.8,17695.35,17766.95,17551.1,260.8,73.35,True,13040.0,59.89,-9432.39
2022-09-20,2022-09-21,PE,18000,2022-09-22,50,28.6,17804.55,17861.56,17818.25,17816.1,214.25,242.65,True,10712.5,67.9,1352.1000000000001
2022-09-28,2022-09-29,PE,17100,2022-09-29,50,27.1,16861.0,16914.64,16876.0,17015.1,232.7,111.4,True,11635.0,61.11,-6126.109999999999
